method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Latency-Only Spacing,10,49,155844.29638176644,87.72,3,0,9
Latency-Only Spacing,10,50,158462.8691156354,89.19,4,1,9
Latency-Only Spacing,10,51,163433.90969014645,91.99,4,1,9
Random,10,42,153047.01692212033,86.14,4,3,9
Random,10,43,154291.28150800997,86.84,4,1,9
Random,10,44,152406.8028942392,85.78,4,0,9
Random,10,45,174268.6577094084,98.09,3,2,9
Random,10,46,152724.02430398937,85.96,4,1,9
Random,10,47,153047.01692212033,86.14,4,3,9
Random,10,48,149593.7840368713,84.2,4,1,9
Random,10,49,126566.66832496028,71.24,4,0,9
Random,10,50,151982.36484866822,85.54,2,2,9
Random,10,51,153228.5126750376,86.24,4,0,9
Uniform Latency,10,42,152169.18782447622,85.65,3,1,9
Uniform Latency,10,43,131784.84650665533,74.18,5,0,9
Uniform Latency,10,44,155250.05371337454,87.38,3,1,9
Uniform Latency,10,45,136317.5867346271,76.73,3,0,9
Uniform Latency,10,46,150044.3613567091,84.45,3,0,9
Uniform Latency,10,47,161501.32347394776,90.9,4,1,9
Uniform Latency,10,48,149546.9975012231,84.17,6,0,9
Uniform Latency,10,49,151705.19782328463,85.39,3,0,9
Uniform Latency,10,50,141478.38437026393,79.63,4,0,9
Uniform Latency,10,51,154237.01456148727,86.81,3,1,9
Largest-N,10,42,124662.65185042807,70.17,4,1,9
Largest-N,10,43,124662.65185042807,70.17,4,1,9
Largest-N,10,44,124662.65185042807,70.17,4,1,9
Largest-N,10,45,124662.65185042807,70.17,4,1,9
Largest-N,10,46,124662.65185042807,70.17,4,1,9
Largest-N,10,47,124662.65185042807,70.17,4,1,9
Largest-N,10,48,124662.65185042807,70.17,4,1,9
Largest-N,10,49,124662.65185042807,70.17,4,1,9
Largest-N,10,50,124662.65185042807,70.17,4,1,9
Largest-N,10,51,124662.65185042807,70.17,4,1,9
Smallest-N,10,42,139417.81211513063,78.47,2,1,9
Smallest-N,10,43,139417.81211513063,78.47,2,1,9
Smallest-N,10,44,139417.81211513063,78.47,2,1,9
Smallest-N,10,45,139417.81211513063,78.47,2,1,9
Smallest-N,10,46,139417.81211513063,78.47,2,1,9
Smallest-N,10,47,139417.81211513063,78.47,2,1,9
Smallest-N,10,48,139417.81211513063,78.47,2,1,9
Smallest-N,10,49,139417.81211513063,78.47,2,1,9
Smallest-N,10,50,139417.81211513063,78.47,2,1,9
Smallest-N,10,51,139417.81211513063,78.47,2,1,9
Ours (Metadata-Only Maximin),12,42,166049.9295210018,93.46,5,2,9
Ours (Metadata-Only Maximin),12,43,172303.8222972715,96.98,3,2,9
Ours (Metadata-Only Maximin),12,44,174493.4864645079,98.21,4,4,9
Ours (Metadata-Only Maximin),12,45,174124.885424931,98.01,4,1,9
Ours (Metadata-Only Maximin),12,46,172364.56853335947,97.02,4,2,9
Ours (Metadata-Only Maximin),12,47,169713.4444508198,95.52,5,2,9
Ours (Metadata-Only Maximin),12,48,164202.92862904654,92.42,4,1,9
Ours (Metadata-Only Maximin),12,49,172783.9600609295,97.25,3,2,9
Ours (Metadata-Only Maximin),12,50,171823.58135984163,96.71,3,1,9
Ours (Metadata-Only Maximin),12,51,174795.53633773525,98.38,4,2,9
"Combined (lw=5, fw=3)",12,42,161336.07017141825,90.81,5,1,9
"Combined (lw=5, fw=3)",12,43,172303.8222972715,96.98,3,2,9
"Combined (lw=5, fw=3)",12,44,174493.4864645079,98.21,4,4,9
"Combined (lw=5, fw=3)",12,45,174905.8690758806,98.45,5,2,9
"Combined (lw=5, fw=3)",12,46,172364.56853335947,97.02,4,2,9
"Combined (lw=5, fw=3)",12,47,169713.4444508198,95.52,5,2,9
"Combined (lw=5, fw=3)",12,48,159444.0185026056,89.74,5,0,9
"Combined (lw=5, fw=3)",12,49,172783.9600609295,97.25,3,2,9
"Combined (lw=5, fw=3)",12,50,171823.58135984163,96.71,3,1,9
"Combined (lw=5, fw=3)",12,51,174795.53633773525,98.38,4,2,9
Latency-Only Spacing,12,42,152745.8882458518,85.97,3,2,9
Latency-Only Spacing,12,43,163477.54474928952,92.01,5,1,9
Latency-Only Spacing,12,44,157458.52907869124,88.63,3,1,9
Latency-Only Spacing,12,45,165204.43550495998,92.99,4,1,9
Latency-Only Spacing,12,46,163477.54474928952,92.01,5,1,9
Latency-Only Spacing,12,47,146242.60756492335,82.31,3,1,9
Latency-Only Spacing,12,48,139548.61672221907,78.55,4,1,9
Latency-Only Spacing,12,49,157368.76681125417,88.58,4,0,9
Latency-Only Spacing,12,50,158462.8691156354,89.19,4,1,9
Latency-Only Spacing,12,51,163477.54474928952,92.01,5,1,9
Random,12,42,157194.4932702635,88.48,5,1,9
Random,12,43,141948.80806390377,79.9,3,1,9
Random,12,44,155610.16714785088,87.59,5,0,9
Random,12,45,152869.0717329764,86.04,3,1,9
Random,12,46,163082.5699790709,91.79,4,1,9
Random,12,47,159371.43964653407,89.7,3,2,9
Random,12,48,138992.07024999472,78.23,3,1,9
Random,12,49,157199.56744197407,88.48,4,1,9
Random,12,50,153190.2318205566,86.22,4,2,9
Random,12,51,135552.80166908252,76.3,6,0,9
Uniform Latency,12,42,134670.93086667554,75.8,4,0,9
Uniform Latency,12,43,137735.20673082734,77.52,7,0,9
Uniform Latency,12,44,161281.43924520776,90.78,3,2,9
Uniform Latency,12,45,171306.84761499608,96.42,2,1,9
Uniform Latency,12,46,148347.48180359596,83.5,4,0,9
Uniform Latency,12,47,153602.87459252827,86.46,3,0,9
Uniform Latency,12,48,150058.4798980694,84.46,5,0,9
Uniform Latency,12,49,160836.54583697367,90.53,6,1,9
Uniform Latency,12,50,132537.92884551524,74.6,7,0,9
Uniform Latency,12,51,152174.9431456372,85.65,4,0,9
Largest-N,12,42,125084.49447307417,70.4,5,1,9
Largest-N,12,43,125084.49447307417,70.4,5,1,9
Largest-N,12,44,125084.49447307417,70.4,5,1,9
Largest-N,12,45,125084.49447307417,70.4,5,1,9
Largest-N,12,46,125084.49447307417,70.4,5,1,9
Largest-N,12,47,125084.49447307417,70.4,5,1,9
Largest-N,12,48,125084.49447307417,70.4,5,1,9
Largest-N,12,49,125084.49447307417,70.4,5,1,9
Largest-N,12,50,125084.49447307417,70.4,5,1,9
Largest-N,12,51,125084.49447307417,70.4,5,1,9
Smallest-N,12,42,152571.79083222587,85.88,2,2,9
Smallest-N,12,43,152571.79083222587,85.88,2,2,9
