metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
num_nodes,148.728909900487,1.8589103942430538,38.0,9.0,29.0,99,10,0.3589407408710597
num_tables,148.728909900487,1.8589103942430538,15.0,4.0,11.0,99,10,0.3589407408710597
longest_path_len,148.728909900487,2.1383743661895487,15.0,7.0,8.0,99,15,0.40324610188327603
max_log_card_error,148.728909900487,2.1383743661895487,6.697651341175731,2.7810753361171,3.916576005058631,99,15,0.40324610188327603
num_columns,148.728909900487,2.1383743661895487,85.0,26.0,59.0,99,15,0.40324610188327603
num_filters,148.728909900487,2.1383743661895487,17.0,4.0,13.0,99,15,0.40324610188327603
num_joins,148.728909900487,2.1383743661895487,16.0,4.0,12.0,99,15,0.40324610188327603
num_nested_loop,148.728909900487,2.1383743661895487,12.0,4.0,8.0,99,15,0.40324610188327603
num_nodes,148.728909900487,2.1383743661895487,38.0,11.0,27.0,99,15,0.40324610188327603
num_tables,148.728909900487,2.1383743661895487,15.0,5.0,10.0,99,15,0.40324610188327603
longest_path_len,148.728909900487,2.608403816882983,15.0,7.0,8.0,99,20,0.43582079742803853
max_log_card_error,148.728909900487,2.608403816882983,6.697651341175731,4.67241134256384,2.025239998611891,99,20,0.43582079742803853
num_columns,148.728909900487,2.608403816882983,85.0,34.0,51.0,99,20,0.43582079742803853
num_filters,148.728909900487,2.608403816882983,17.0,4.0,13.0,99,20,0.43582079742803853
num_joins,148.728909900487,2.608403816882983,16.0,4.0,12.0,99,20,0.43582079742803853
num_nested_loop,148.728909900487,2.608403816882983,12.0,3.0,9.0,99,20,0.43582079742803853
num_nodes,148.728909900487,2.608403816882983,38.0,11.0,27.0,99,20,0.43582079742803853
num_tables,148.728909900487,2.608403816882983,15.0,5.0,10.0,99,20,0.43582079742803853
longest_path_len,148.728909900487,1.874189022509366,15.0,7.0,8.0,99,22,0.4335209386622507
max_log_card_error,148.728909900487,1.874189022509366,6.697651341175731,4.927757963896497,1.7698933772792342,99,22,0.4335209386622507
num_columns,148.728909900487,1.874189022509366,85.0,34.0,51.0,99,22,0.4335209386622507
num_filters,148.728909900487,1.874189022509366,17.0,3.0,14.0,99,22,0.4335209386622507
num_joins,148.728909900487,1.874189022509366,16.0,4.0,12.0,99,22,0.4335209386622507
num_nested_loop,148.728909900487,1.874189022509366,12.0,3.0,9.0,99,22,0.4335209386622507
num_nodes,148.728909900487,1.874189022509366,38.0,11.0,27.0,99,22,0.4335209386622507
num_tables,148.728909900487,1.874189022509366,15.0,5.0,10.0,99,22,0.4335209386622507
longest_path_len,148.728909900487,1.8998782041742608,15.0,11.0,4.0,99,28,0.45011105825989517
max_log_card_error,148.728909900487,1.8998782041742608,6.697651341175731,1.074759040860446,5.622892300315285,99,28,0.45011105825989517
num_columns,148.728909900487,1.8998782041742608,85.0,50.0,35.0,99,28,0.45011105825989517
num_filters,148.728909900487,1.8998782041742608,17.0,2.0,15.0,99,28,0.45011105825989517
num_joins,148.728909900487,1.8998782041742608,16.0,6.0,10.0,99,28,0.45011105825989517
num_nested_loop,148.728909900487,1.8998782041742608,12.0,1.0,11.0,99,28,0.45011105825989517
num_nodes,148.728909900487,1.8998782041742608,38.0,20.0,18.0,99,28,0.45011105825989517
num_tables,148.728909900487,1.8998782041742608,15.0,7.0,8.0,99,28,0.45011105825989517
longest_path_len,36.304532046899965,1.8589103942430538,16.0,6.0,10.0,110,10,0.4289140351443072
max_log_card_error,36.304532046899965,1.8589103942430538,5.595949769852986,3.127192861570068,2.4687569082829177,110,10,0.4289140351443072
num_columns,36.304532046899965,1.8589103942430538,72.0,23.0,49.0,110,10,0.4289140351443072
num_filters,36.304532046899965,1.8589103942430538,11.0,4.0,7.0,110,10,0.4289140351443072
num_joins,36.304532046899965,1.8589103942430538,13.0,3.0,10.0,110,10,0.4289140351443072
num_nested_loop,36.304532046899965,1.8589103942430538,9.0,2.0,7.0,110,10,0.4289140351443072
