metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
num_tables,1.5179042784728063,1.0113196236558444,3.0,1.0,2.0,422,4792,0.11679929954551443
join_tree_diameter,1.7542946901206362,1.0184179199688328,1.0,0.0,1.0,545,746,0.11679943159926268
longest_path_len,1.7542946901206362,1.0184179199688328,5.0,1.0,4.0,545,746,0.11679943159926268
max_log_card_error,1.7542946901206362,1.0184179199688328,0.6931471805599453,3.0555334031845405e-06,0.6931441250265421,545,746,0.11679943159926268
num_columns,1.7542946901206362,1.0184179199688328,24.0,3.0,21.0,545,746,0.11679943159926268
num_filters,1.7542946901206362,1.0184179199688328,4.0,1.0,3.0,545,746,0.11679943159926268
num_joins,1.7542946901206362,1.0184179199688328,2.0,0.0,2.0,545,746,0.11679943159926268
num_nested_loop,1.7542946901206362,1.0184179199688328,1.0,0.0,1.0,545,746,0.11679943159926268
num_nodes,1.7542946901206362,1.0184179199688328,7.0,1.0,6.0,545,746,0.11679943159926268
num_tables,1.7542946901206362,1.0184179199688328,3.0,1.0,2.0,545,746,0.11679943159926268
join_tree_diameter,1.7542946901206362,1.0152615893846024,1.0,0.0,1.0,545,2695,0.11679916934979347
longest_path_len,1.7542946901206362,1.0152615893846024,5.0,1.0,4.0,545,2695,0.11679916934979347
max_log_card_error,1.7542946901206362,1.0152615893846024,0.6931471805599453,1.4195360815705271e-06,0.6931457610238637,545,2695,0.11679916934979347
num_columns,1.7542946901206362,1.0152615893846024,24.0,3.0,21.0,545,2695,0.11679916934979347
num_filters,1.7542946901206362,1.0152615893846024,4.0,1.0,3.0,545,2695,0.11679916934979347
num_joins,1.7542946901206362,1.0152615893846024,2.0,0.0,2.0,545,2695,0.11679916934979347
num_nested_loop,1.7542946901206362,1.0152615893846024,1.0,0.0,1.0,545,2695,0.11679916934979347
num_nodes,1.7542946901206362,1.0152615893846024,7.0,1.0,6.0,545,2695,0.11679916934979347
