metric,high_error_avg,low_error_avg,high_metric_value,low_metric_value,difference,high_plan_idx,low_plan_idx,avg_relative_value
num_nodes,156.03991648063666,1.017424120959378,14.0,4.0,10.0,134,4,0.3311549546235414
num_tables,156.03991648063666,1.017424120959378,7.0,2.0,5.0,134,4,0.3311549546235414
longest_path_len,156.03991648063666,1.183465624977465,8.0,3.0,5.0,134,5,0.3407956501086507
max_log_card_error,156.03991648063666,1.183465624977465,5.533694058195852,1.3290645104810448,4.2046295477148075,134,5,0.3407956501086507
num_columns,156.03991648063666,1.183465624977465,40.0,13.0,27.0,134,5,0.3407956501086507
num_filters,156.03991648063666,1.183465624977465,9.0,2.0,7.0,134,5,0.3407956501086507
num_joins,156.03991648063666,1.183465624977465,6.0,1.0,5.0,134,5,0.3407956501086507
num_nested_loop,156.03991648063666,1.183465624977465,6.0,1.0,5.0,134,5,0.3407956501086507
num_nodes,156.03991648063666,1.183465624977465,14.0,4.0,10.0,134,5,0.3407956501086507
num_tables,156.03991648063666,1.183465624977465,7.0,2.0,5.0,134,5,0.3407956501086507
longest_path_len,48.609965982173854,1.0952973213177704,9.0,3.0,6.0,136,0,0.26706349206349206
max_log_card_error,48.609965982173854,1.0952973213177704,4.512587328802921,0.0,4.512587328802921,136,0,0.26706349206349206
num_columns,48.609965982173854,1.0952973213177704,40.0,9.0,31.0,136,0,0.26706349206349206
num_filters,48.609965982173854,1.0952973213177704,7.0,1.0,6.0,136,0,0.26706349206349206
num_joins,48.609965982173854,1.0952973213177704,6.0,1.0,5.0,136,0,0.26706349206349206
num_nested_loop,48.609965982173854,1.0952973213177704,5.0,0.0,5.0,136,0,0.26706349206349206
num_nodes,48.609965982173854,1.0952973213177704,16.0,4.0,12.0,136,0,0.26706349206349206
num_tables,48.609965982173854,1.0952973213177704,7.0,2.0,5.0,136,0,0.26706349206349206
longest_path_len,48.609965982173854,1.017424120959378,9.0,3.0,6.0,136,4,0.33769587108155963
max_log_card_error,48.609965982173854,1.017424120959378,4.512587328802921,1.7404661748405044,2.7721211539624164,136,4,0.33769587108155963
num_columns,48.609965982173854,1.017424120959378,40.0,11.0,29.0,136,4,0.33769587108155963
num_filters,48.609965982173854,1.017424120959378,7.0,1.0,6.0,136,4,0.33769587108155963
num_joins,48.609965982173854,1.017424120959378,6.0,1.0,5.0,136,4,0.33769587108155963
num_nested_loop,48.609965982173854,1.017424120959378,5.0,1.0,4.0,136,4,0.33769587108155963
num_nodes,48.609965982173854,1.017424120959378,16.0,4.0,12.0,136,4,0.33769587108155963
num_tables,48.609965982173854,1.017424120959378,7.0,2.0,5.0,136,4,0.33769587108155963
longest_path_len,48.609965982173854,1.183465624977465,9.0,3.0,6.0,136,5,0.3489947114469395
max_log_card_error,48.609965982173854,1.183465624977465,4.512587328802921,1.3290645104810448,3.183522818321876,136,5,0.3489947114469395
num_columns,48.609965982173854,1.183465624977465,40.0,13.0,27.0,136,5,0.3489947114469395
num_filters,48.609965982173854,1.183465624977465,7.0,2.0,5.0,136,5,0.3489947114469395
num_joins,48.609965982173854,1.183465624977465,6.0,1.0,5.0,136,5,0.3489947114469395
num_nested_loop,48.609965982173854,1.183465624977465,5.0,1.0,4.0,136,5,0.3489947114469395
num_nodes,48.609965982173854,1.183465624977465,16.0,4.0,12.0,136,5,0.3489947114469395
num_tables,48.609965982173854,1.183465624977465,7.0,2.0,5.0,136,5,0.3489947114469395
longest_path_len,302.99129177621074,1.0952973213177704,9.0,3.0,6.0,137,0,0.2669312169312169
max_log_card_error,302.99129177621074,1.0952973213177704,5.04090798748711,0.0,5.04090798748711,137,0,0.2669312169312169
num_columns,302.99129177621074,1.0952973213177704,40.0,9.0,31.0,137,0,0.2669312169312169
num_filters,302.99129177621074,1.0952973213177704,8.0,1.0,7.0,137,0,0.2669312169312169
num_joins,302.99129177621074,1.0952973213177704,6.0,1.0,5.0,137,0,0.2669312169312169
num_nested_loop,302.99129177621074,1.0952973213177704,4.0,0.0,4.0,137,0,0.2669312169312169
num_nodes,302.99129177621074,1.0952973213177704,15.0,4.0,11.0,137,0,0.2669312169312169
num_tables,302.99129177621074,1.0952973213177704,7.0,2.0,5.0,137,0,0.2669312169312169
longest_path_len,302.99129177621074,1.017424120959378,9.0,3.0,6.0,137,4,0.3386277044855493
max_log_card_error,302.99129177621074,1.017424120959378,5.04090798748711,1.7404661748405044,3.3004418126466053,137,4,0.3386277044855493
num_columns,302.99129177621074,1.017424120959378,40.0,11.0,29.0,137,4,0.3386277044855493
num_filters,302.99129177621074,1.017424120959378,8.0,1.0,7.0,137,4,0.3386277044855493
num_joins,302.99129177621074,1.017424120959378,6.0,1.0,5.0,137,4,0.3386277044855493
num_nested_loop,302.99129177621074,1.017424120959378,4.0,1.0,3.0,137,4,0.3386277044855493
num_nodes,302.99129177621074,1.017424120959378,15.0,4.0,11.0,137,4,0.3386277044855493
num_tables,302.99129177621074,1.017424120959378,7.0,2.0,5.0,137,4,0.3386277044855493
longest_path_len,302.99129177621074,1.183465624977465,9.0,3.0,6.0,137,5,0.34900408100385666
max_log_card_error,302.99129177621074,1.183465624977465,5.04090798748711,1.3290645104810448,3.711843477006065,137,5,0.34900408100385666
