combined_timing_accuracy_report
dataset,task,algo,model,train_time_sum_ms,test_time_sum_ms,llm_train_inference_ms,llm_test_inference_ms,q50,q90,q95,qmax
stats,time,postgres,,,,,,21.35,959.79,3720.51,7716.22
stats,time,qf,,193421.98,4756.59,,,6.95,242.72,589.21,1683.17
stats,time,mscn,,137266.62,1.28,,,1187.93,144052.41,504569.31,34540924.13
stats,time,alece,,134010.69,810.81,,,1.47,3.76,5.03,37.67
stats,time,price,,682312.17,3992.91,,,2.88,102.37,541.42,1158.25
syn,card,aimai,,3266.87,8304.09,,,1.57,4.65,8.87,23656.03
syn,card,bao,,16575.98,18475.67,,,1.93,9.33,23.15,42732.51
syn,card,e2e,,79247.87,32508.16,,,1.85,10.78,27.04,214096.89
syn,card,llm,Qwen-Qwen3-0.6B,3783.98,8314.96,8726216.56,3548889.79,1.54,4.87,9.25,104847.84
syn,card,llm,Qwen-Qwen3-4B,3962.98,8467.7,46058486.72,25387627.45,1.52,4.59,8.28,65763.33
syn,card,llm,Qwen-Qwen3-8B,3919.05,8600.86,84548081.74,45664099.86,1.56,4.68,8.13,35506.02
syn,card,llm,Qwen-Qwen3-Embedding-0.6B,3959.31,8215.77,8800073.95,3547739.22,1.43,4.38,8.77,26216.02
syn,card,llm,Qwen-Qwen3-Embedding-4B,3930.41,8344.67,46135463.26,25438574.49,1.37,4.44,9.61,15882.0
syn,card,llm,Qwen-Qwen3-Embedding-8B,3931.96,8294.91,84370123.07,45742120.19,1.28,4.0,8.23,7051.67
syn,card,llm,answerdotai-ModernBERT-base,3701.52,8522.57,4825581.53,805316.82,1.61,5.24,9.81,18140.02
syn,card,llm,bert-base-uncased,3944.54,8395.17,2609859.1,442462.17,1.63,5.83,11.9,49018.71
syn,card,llm,google-gemma-3-12b-pt,4065.49,8406.05,28355837.54,21711978.96,1.39,4.03,7.01,23657.43
syn,card,llm,google-gemma-3-1b-pt,3813.7,8608.86,7131246.31,2185308.8,1.39,3.93,6.77,33707.46
syn,card,llm,google-gemma-3-4b-pt,4195.74,8363.72,12007544.78,9595954.31,1.39,3.99,7.16,17363.76
syn,card,llm,meta-llama-Llama-3.1-8B,4028.46,8478.82,11873033.87,15111627.4,1.41,4.07,7.38,13073.79
syn,card,llm,meta-llama-Llama-3.2-1B,3692.13,8399.59,5080811.7,1900731.15,1.37,4.18,7.49,7797.99
syn,card,llm,meta-llama-Llama-3.2-3B,3677.85,8545.8,9904094.16,8226767.93,1.37,4.07,7.28,15238.52
syn,card,llm,sentence-transformers-all-MiniLM-L6-v2,4077.23,8703.2,1366953.22,229873.54,1.54,5.51,10.61,490600.79
syn,card,postgres,,,,,,2.08,8.61,15.83,35776.0
syn,card,qf,,320620.1,487165.1,,,2.15,10.97,27.91,414252.39
syn,card,mscn,,168733.06,887.60,,,1.57,5.49,10.44,1929.63
syn,card,alece,,336619.34,14434.66,,,1.87,9.6,21.4,300000000
syn,card,price,,347562.91,343190.54,,,1.68,7.14,10.44,5103.58
syn,time,aimai,,3005.44,2630.1,,,1.1,1.63,2.01,12.98
syn,time,bao,,16196.11,5893.6,,,1.44,5.04,9.18,16.9
syn,time,e2e,,81132.94,10030.48,,,1.15,2.16,2.83,35.17
syn,time,llm,Qwen-Qwen3-0.6B,3693.58,2681.65,8726216.56,511949.46,1.08,1.61,2.0,33.73
syn,time,llm,Qwen-Qwen3-4B,4020.38,2828.69,46058486.72,2778676.95,1.07,1.57,1.97,27.33
syn,time,llm,Qwen-Qwen3-8B,3853.22,2687.02,84548081.74,4974299.44,1.07,1.58,1.94,19.48
syn,time,llm,Qwen-Qwen3-Embedding-0.6B,4193.29,2773.64,8800073.95,510917.58,1.07,1.41,1.71,10.61
syn,time,llm,Qwen-Qwen3-Embedding-4B,3928.69,2841.55,46135463.26,2788492.54,1.06,1.35,1.57,10.52
syn,time,llm,Qwen-Qwen3-Embedding-8B,4158.09,2823.68,84370123.07,5003800.48,1.05,1.29,1.46,9.2
syn,time,llm,answerdotai-ModernBERT-base,3711.38,2664.27,4825581.53,254655.15,1.09,1.68,2.14,16.94
syn,time,llm,bert-base-uncased,3756.96,2730.76,2609859.1,136679.32,1.09,1.72,2.2,20.46
syn,time,llm,google-gemma-3-12b-pt,3891.81,2810.67,28355837.54,1623278.29,1.06,1.47,1.77,15.35
syn,time,llm,google-gemma-3-1b-pt,3824.53,2799.39,7131246.31,387025.42,1.06,1.45,1.74,20.14
syn,time,llm,google-gemma-3-4b-pt,4186.78,2699.25,12007544.78,748608.77,1.06,1.48,1.79,15.31
syn,time,llm,meta-llama-Llama-3.1-8B,3851.4,2691.35,11873033.87,1040226.9,1.06,1.45,1.74,11.88
syn,time,llm,meta-llama-Llama-3.2-1B,4024.56,2863.95,5080811.7,304800.3,1.06,1.46,1.77,10.19
syn,time,llm,meta-llama-Llama-3.2-3B,3989.15,2683.98,9904094.16,572701.1,1.07,1.49,1.79,12.49
syn,time,llm,sentence-transformers-all-MiniLM-L6-v2,4024.68,2727.16,1366953.22,71990.41,1.09,1.65,2.07,20.9
syn,time,postgres,,,,,,2.36,4.33,5.14,9.66
syn,time,qf,,283353.0,167375.94,,,1.16,1.98,2.52,20.92
syn,time,mscn,,169799.48,32.94,,,1.45,4.51,6.62,59.81
syn,time,alece,,645294.77,26784.34,,,1.56,3.08,4.30,20.64
syn,time,price,,309201.39,83702.23,,,2.78,9.32,12.35,325.66
tpcds,time,aimai,,244.8,76.74,,,1.1,2.55,5.73,143.72
tpcds,time,bao,,446.0,213.47,,,1.48,6.54,37.8,88.61
tpcds,time,e2e,,4614.9,6015.33,,,1.88,3.92,5.18,61.41
