method,budget,seed,hv,hv_pct,n_frontier,true_found,true_total
Pareto Search (Ours),10,43,167182.15404125248,94.09867770952243,3,2,9
Pareto Search (Ours),10,44,174485.82318515913,98.2095567253525,3,3,9
Pareto Search (Ours),10,45,174818.18291039768,98.39662579889207,4,2,9
Pareto Search (Ours),10,46,172364.56853335947,97.01560597765327,4,2,9
Pareto Search (Ours),10,47,169515.28998022704,95.41188609610595,4,2,9
Pareto Search (Ours),10,48,154582.62031890714,87.00701490718357,3,0,9
Pareto Search (Ours),10,49,172783.9600609295,97.25166100645244,3,2,9
Pareto Search (Ours),10,50,171823.58135984163,96.71111069238927,3,1,9
Pareto Search (Ours),10,51,174795.53633773525,98.38387914806437,4,2,9
Metadata-Only Maximin,10,42,165859.86298798423,93.35442459008378,4,2,9
Metadata-Only Maximin,10,43,167182.15404125248,94.09867770952243,3,2,9
Metadata-Only Maximin,10,44,174485.82318515913,98.2095567253525,3,3,9
Metadata-Only Maximin,10,45,174037.1992594481,97.95704820588547,3,1,9
Metadata-Only Maximin,10,46,172364.56853335947,97.01560597765327,4,2,9
Metadata-Only Maximin,10,47,169515.28998022704,95.41188609610595,4,2,9
Metadata-Only Maximin,10,48,161473.2496974117,90.88541399123697,3,1,9
Metadata-Only Maximin,10,49,172783.9600609295,97.25166100645244,3,2,9
Metadata-Only Maximin,10,50,171823.58135984163,96.71111069238927,3,1,9
Metadata-Only Maximin,10,51,174795.53633773525,98.38387914806437,4,2,9
Latency-Only Spacing,10,42,148991.54916234268,83.86007374094675,2,1,9
Latency-Only Spacing,10,43,163433.90969014645,91.98897384074566,4,1,9
Latency-Only Spacing,10,44,157458.52907869124,88.62572363277003,3,1,9
Latency-Only Spacing,10,45,165204.43550495998,92.9855164381297,4,1,9
Latency-Only Spacing,10,46,163433.90969014645,91.98897384074566,4,1,9
Latency-Only Spacing,10,47,142470.26205895137,80.18955940338253,2,0,9
Latency-Only Spacing,10,48,125890.76207289817,70.85776777335191,4,0,9
Latency-Only Spacing,10,49,155844.29638176644,87.71715080592024,3,0,9
Latency-Only Spacing,10,50,158462.8691156354,89.19101763791762,4,1,9
Latency-Only Spacing,10,51,163433.90969014645,91.98897384074566,4,1,9
Random,10,42,153047.01692212033,86.1426986770659,4,3,9
Random,10,43,154291.28150800997,86.84303450492052,4,1,9
Random,10,44,152406.8028942392,85.78235343674892,4,0,9
Random,10,45,174268.6577094084,98.0873248745339,3,2,9
Random,10,46,152724.02430398937,85.96090189109698,4,1,9
Random,10,47,153047.01692212033,86.1426986770659,4,3,9
Random,10,48,149593.7840368713,84.19904236884061,4,1,9
