model,latency_ms,val_p90_e4,val_p90_e8,val_p90_e16,test_p90,time_warmup_ms,time_post1_ms,time_post2_ms,notes,time_warmup_5080_raw_ms,time_post1_5080_raw_ms,time_post2_5080_raw_ms,hardware
google/electra-small-generator,18.57,4.561032,2.471761,1.993785,3.101331,4129223.94,4459849.62,8940350.17,ep-e16-16vals,,,,h100_or_a100_corrected
google/electra-small-discriminator,18.48,6.269912,3.005266,1.970593,2.746636,5627202.96,5744849.62,11962798.55,ep-e16-16vals,,,,h100_or_a100_corrected
google/electra-base-discriminator,18.69,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
google/electra-large-generator,28.38,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
microsoft/deberta-v3-xsmall,23.74,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
microsoft/deberta-v3-base,37.0,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
answerdotai/ModernBERT-large,47.69,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
facebook/opt-350m,33.87,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
EleutherAI/gpt-neo-125m,30.14,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
distilbert/distilbert-base-uncased,11.76,3.04743,2.760714,2.102962,3.353849,1929236.0825,2591061.4275,5179198.02,ep-e16-16vals,7716944.33,10364245.71,20716792.08,gtx5080_corrected_4.0x
distilbert/distilbert-base-cased,11.05,3.913208,3.501533,4.50211,14.567219,2091121.1325,2793805.33,5596235.8075,ep-e16-16vals,8364484.53,11175221.32,22384943.23,gtx5080_corrected_4.0x
distilbert/distilgpt2,12.58,4.414541,4.306197,2.003662,3.147858,2621549.7075,3313923.25,6622472.275,ep-e16-16vals,10486198.83,13255693.0,26489889.1,gtx5080_corrected_4.0x
google-bert/bert-base-cased,17.9,3.610438,2.877164,2.274072,3.696221,9423068.9,11061604.56,22027018.28,ep-e16-16vals,,,,h100_or_a100_corrected
google-bert/bert-base-multilingual-uncased,19.04,3.281453,2.935582,2.098004,4.420443,3072895.0475,3740609.23,7487063.8225,ep-e16-16vals,12291580.19,14962436.92,29948255.29,gtx5080_corrected_4.0x
albert/albert-base-v1,17.08,3.450766,3.436449,2.295045,4.685093,4905209.92,9716510.86,19531484.95,ep-e16-16vals,,,,h100_or_a100_corrected
albert/albert-base-v2,18.78,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
albert/albert-large-v2,31.54,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
albert/albert-xxlarge-v2,143.6,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
FacebookAI/roberta-base,16.49,3.58001,3.437206,1.97148,3.294711,6219513.9,7575837.11,17898168.33,ep-e16-16vals,,,,h100_or_a100_corrected
FacebookAI/roberta-large,28.66,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
FacebookAI/xlm-roberta-base,16.37,11.501441,3.315812,2.189991,3.544699,7046413.37,8569999.14,16970004.85,ep-e16-16vals,,,,h100_or_a100_corrected
microsoft/MiniLM-L12-H384-uncased,18.55,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
nreimers/MiniLM-L6-H384-uncased,14.79,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
sentence-transformers/all-MiniLM-L12-v2,18.57,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
sentence-transformers/paraphrase-MiniLM-L12-v2,19.23,,,,,,,,INSUFFICIENT,,,,h100_or_a100_corrected
sentence-transformers/paraphrase-TinyBERT-L6-v2,14.34,4.876146,5.197499,8.090773,17.27703,2101009.545,2950379.725,5305810.7125,ep-e16-16vals,8404038.18,11801518.9,21223242.85,gtx5080_corrected_4.0x
sentence-transformers/all-mpnet-base-v2,19.01,4.725265,2.716089,29.212167,153.796094,11828301.21,16610596.55,33048869.71,ep-e16-16vals,,,,h100_or_a100_corrected
sentence-transformers/paraphrase-mpnet-base-v2,18.89,3.238903,2.995575,23.137093,36.427907,11696645.12,16576756.79,32965407.61,ep-e16-16vals,,,,h100_or_a100_corrected
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,13.61,5.013967,2.988344,1.917469,4.082362,1091039.82,1277207.185,2561495.46,ep-e16-16vals,4364159.28,5108828.74,10245981.84,gtx5080_corrected_4.0x
sentence-transformers/multi-qa-MiniLM-L6-dot-v1,13.31,3.974849,4.170435,2.159293,5.084016,1100003.68,1285798.66,2559068.82,ep-e16-16vals,4400014.72,5143194.64,10236275.28,gtx5080_corrected_4.0x
sentence-transformers/paraphrase-albert-base-v2,18.76,6.213193,6.494148,7.295196,51.796462,4177152.04,10041252.79,19876089.93,ep-e16-16vals,,,,h100_or_a100_corrected
